date,recipient,amount,lobbyist,employer
05/09/2013,Ervin,$250.00,Marcus Nunes,"Chico & Nunes, PC"
04/17/2013,Burnett,$450.00,Michael Paulos,Comcast
09/01/2013,Reilly,$200.00,Brendan Shiller,Lakeview Strategy Group
02/25/2013,NA,$250.00,William Banks,"Schain, Burney, Banks & Kenny, Ltd"
05/01/2013,Burns,$300.00,Graham Grady,Shefsky & Froelich Ltd.
04/22/2013,NA,$250.00,Mara Georges,Daley and Georges Ltd.
11/13/2013,Ervin,$150.00,Elizabeth Lively,Metropolitan Chicago Healthcare Council
10/29/2013,Burns,$500.00,Elizabeth Lively,Metropolitan Chicago Healthcare Council
12/20/2013,Beale,$500.00,John Dunn,McGuireWoods Consulting
12/01/2013,Burke,$150.00,Samuel Polsky,Polsky & Associates Ltd.
03/25/2013,Solis,$150.00,Danielle Cassel,Vedder Price PC
03/25/2013,Solis,$150.00,Danielle Cassel,Vedder Price PC
12/18/2013,O'Connor,$500.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
12/18/2013,Thompson,$500.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
06/20/2013,Tunney,$300.00,Mara Georges,Daley and Georges Ltd.
10/16/2013,Austin,$500.00,Darryl Denham,Xerox Corporation
11/05/2013,Burns,$50.00,Kate Tragesser,"Krieg DeVault, LLP"
12/31/2013,NA,$0.00,John Suzuki,"Collateral Trustee, Inc"
09/19/2013,NA,$500.00,John George,"Schuyler, Roche & Crisham PC"
05/04/2013,Hairston,$250.00,John George,"Schuyler, Roche & Crisham PC"
12/11/2013,Pope,$50.00,Sylvia Michas,"Chico & Nunes, PC"
01/02/2014,Austin,$300.00,Sam Toia,Illinois Restaurant Association
09/01/2013,NA,$250.00,Lisa Ouzounion,Comcast
11/01/2013,Cappleman,$1500.00,Lisa Ouzounion,Comcast
12/01/2013,Pawar,$1500.00,Lisa Ouzounion,Comcast
01/01/2014,NA,$0.00,Steven Ginsberg,Ginsberg Jacobs LLC
12/12/2013,Burke,$500.00,Mark Fary,"Intergovernmental Consulting Group, Inc"
12/20/2013,Beale,$500.00,John Dunn,McGuireWoods Consulting
12/20/2013,Zalewski,$500.00,John Dunn,McGuireWoods Consulting
01/15/2013,Cardenas,$250.00,John Dunn,McGuireWoods Consulting
03/25/2013,Solis,$300.00,Peter Cassel,Silliman Group LLC
02/19/2014,NA,$250.00,Jerry Mickelson,"Jam Productions, Ltd"
01/27/2014,O'Connor,$500.00,Jerry Mickelson,"Jam Productions, Ltd"
11/23/2013,Burke,$300.00,Bridget O'Keefe,"Daspin & Aument, LLP"
02/24/2014,Harris,$500.00,Graham Grady,Taft Stettinius & Hollister LLP
03/28/2014,NA,$800.00,Jerome Schain,"Schain, Banks, Kenny & Schwartz, Ltd."
02/24/2014,Burnett,$300.00,Katriina McGuire,"Schain, Banks, Kenny & Schwartz, Ltd."
03/27/2014,Cardenas,$250.00,Brendan Shiller,Lakeview Strategy Group
03/31/2014,Solis,$1000.00,John George,"Schuyler, Roche & Crisham, P.C."
02/18/2014,Cullerton,$250.00,John George,"Schuyler, Roche & Crisham, P.C."
02/10/2014,Laurino,$250.00,John George,"Schuyler, Roche & Crisham, P.C."
03/31/2014,Solis,$1000.00,John George,"Schuyler, Roche & Crisham, P.C."
06/30/2014,NA,$1500.00,Gery Chico,"Chico & Nunes, PC"
02/13/2014,Laurino,$250.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
03/12/2014,Solis,$500.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
02/13/2014,Cappleman,$250.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
02/25/2014,Burnett,$250.00,Marcus Nunes,"Chico & Nunes, PC"
02/24/2014,Mitts,$500.00,Graham Grady,Taft Stettinius & Hollister LLP
02/24/2014,Harris,$500.00,Graham Grady,Taft Stettinius & Hollister LLP
01/23/2014,Graham,$500.00,John George,"Schuyler, Roche & Crisham, P.C."
01/23/2014,Reilly,$1000.00,John George,"Schuyler, Roche & Crisham, P.C."
05/29/2014,NA,$500.00,Jeanette Sublett,"Neal & Leroy, LLC"
04/28/2014,NA,$500.00,John Doerrer,Kaizen Inc
03/31/2014,NA,$0.00,John Suzuki,"Collateral Trustee, Inc"
03/12/2014,NA,$500.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
03/14/2014,Mitts,$1000.00,John Dunn,McGuireWoods Consulting
03/14/2014,Laurino,$250.00,John Dunn,McGuireWoods Consulting
06/13/2014,Sawyer,$100.00,Elizabeth Lively,Metropolitan Chicago Healthcare Council
04/17/2014,O'Connor,$530.00,Elizabeth Lively,Metropolitan Chicago Healthcare Council
05/22/2014,Mitts,$250.00,Dean Maragos,"Maragos & Maragos, Ltd"
12/31/2014,O'Connor,$500.00,Eileen Mitchell,AT&T Illinois
01/22/2015,Munoz,$500.00,Gery Chico,"Chico & Nunes, P.C."
02/11/2015,NA,$250.00,Gery Chico,"Chico & Nunes, P.C."
02/11/2015,Solis,$500.00,Gery Chico,"Chico & Nunes, P.C."
02/18/2015,Graham,$250.00,Gery Chico,"Chico & Nunes, P.C."
06/04/2014,Burns,$1000.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
07/16/2014,Tunney,$500.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
01/19/2015,Graham,$250.00,Joseph Pilewski,Joseph Pilewski
01/28/2015,Laurino,$1500.00,Terry Teele,"Urban Strategies, Inc."
02/18/2015,Moore,$100.00,Gery Chico,"Chico & Nunes, P.C."
02/12/2015,Moore,$250.00,Gery Chico,"Chico & Nunes, P.C."
01/22/2015,Sposato,$200.00,Gery Chico,"Chico & Nunes, P.C."
03/06/2015,Burke,$1500.00,Gery Chico,"Chico & Nunes, P.C."
05/18/2014,Munoz,$500.00,Gery Chico,"Chico & Nunes, PC"
06/04/2014,Burns,$1000.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
07/16/2014,Tunney,$500.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
09/05/2014,O'Connor,$200.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
03/12/2014,Solis,$500.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
02/13/2014,O'Connor,$500.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
02/13/2014,Laurino,$250.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
04/16/2014,O'Connor,$200.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
09/05/2014,O'Connor,$200.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
02/24/2014,Mitts,$500.00,Graham Grady,Taft Stettinius & Hollister LLP
02/10/2014,Laurino,$250.00,John George,"Schuyler, Roche & Crisham, P.C."
01/23/2014,Reilly,$1000.00,John George,"Schuyler, Roche & Crisham, P.C."
04/14/2014,Austin,$500.00,John George,"Schuyler, Roche & Crisham, P.C."
12/01/2014,Burke,$500.00,Jeanette Sublett,"Neal & Leroy, LLC"
08/28/2014,Burns,$500.00,David Doig,Chicago Neighborhood Initiatives
03/31/2014,Solis,$100.00,Sylvia Michas,"Chico & Nunes, PC"
01/01/2015,Cappleman,$150.00,Thomas Murphy,"Thomas J. Murphy, P.C."
05/07/2014,Austin,$100.00,Kate Tragesser,Krieg DeVault LLP
06/04/2014,Osterman,$300.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
11/30/2014,Tunney,$100.00,Daniel Finkel,"Gold Coast Tickets, Ltd."
07/01/2014,Thompson,$1000.00,Thomas Livingston,CSX Corporation
02/08/2015,Hairston,$0.00,Danielle Cassel,Vedder Price PC
08/06/2014,NA,$500.00,John George,"Schuyler, Roche & Crisham, P.C."
01/24/2014,O'Connor,$100.00,John George,"Schuyler, Roche & Crisham, P.C."
01/23/2014,Graham,$500.00,John George,"Schuyler, Roche & Crisham, P.C."
02/10/2014,Laurino,$250.00,John George,"Schuyler, Roche & Crisham, P.C."
04/24/2014,Zalewski,$500.00,John George,"Schuyler, Roche & Crisham, P.C."
04/14/2014,Austin,$500.00,John George,"Schuyler, Roche & Crisham, P.C."
05/07/2014,Austin,$100.00,Kate Tragesser,Krieg DeVault LLP
06/02/2014,Suarez,$500.00,Gery Chico,"Chico & Nunes, PC"
02/08/2015,Burns,$1000.00,Michael Sutton,"Infrastructure Engineering, Inc."
02/18/2014,Cullerton,$250.00,John George,"Schuyler, Roche & Crisham, P.C."
06/09/2014,NA,$250.00,John George,"Schuyler, Roche & Crisham, P.C."
04/29/2014,Hopkins,$500.00,John George,"Schuyler, Roche & Crisham, P.C."
10/03/2014,O'Shea,$600.00,John Dunn,McGuireWoods Consulting
10/23/2014,Burns,$500.00,Michael Ezgur,Michael Ezgur
12/09/2014,Hopkins,$500.00,Elizabeth Lively,Metropolitan Chicago Healthcare Council
03/12/2014,Solis,$500.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
03/12/2014,Cullerton,$250.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
07/28/2014,Arena,$250.00,Donna Pugh,"Foley & Lardner, LLP"
11/27/2014,NA,$250.00,John Doerrer,Kaizen Inc
10/01/2014,Quinn,$1000.00,Kate Tragesser,Krieg DeVault LLP
04/28/2014,Austin,$1000.00,Paul Williams,Paul Williams
03/11/2014,Hairston,$400.00,Paul Williams,Paul Williams
03/31/2014,Solis,$1000.00,John George,"Schuyler, Roche & Crisham, P.C."
01/24/2014,O'Connor,$100.00,John George,"Schuyler, Roche & Crisham, P.C."
03/06/2014,Hairston,$250.00,John George,"Schuyler, Roche & Crisham, P.C."
12/03/2014,Dowell,$1500.00,Howard Piggee,Howard Piggee
09/17/2014,Reilly,$500.00,Bridget O'Keefe,Daspin & Aument
08/14/2014,O'Connor,$300.00,Bridget O'Keefe,Daspin & Aument
10/23/2014,NA,$250.00,Sam Toia,Illinois Restaurant Association
02/10/2015,Ervin,$250.00,Mary Minaghan dba MKM Services,MKM Services
09/30/2014,Graham,$500.00,Sam Toia,Illinois Restaurant Association
02/07/2015,Moore,$500.00,Lawrence Suffredin,Lawrence Suffredin
02/19/2015,Smith,$250.00,Michael Alexander,"Alexander & Borovicka Government Solutions, LLC"
09/29/2014,Mendoza,$200.00,Daniel Shomon,DAN SHOMON INC.
12/04/2014,NA,$100.00,Jorge Perez,HISPANIC AMERICAN CONSTRUCTION INDUSTRY ASSOCIATION ( HACIA )
09/24/2014,Graham,$250.00,Gery Chico,"Chico & Nunes, PC"
07/02/2014,Pope,$500.00,Gery Chico,"Chico & Nunes, PC"
10/14/2014,Pawar,$250.00,Paul Rosenfeld,"Government Navigation Group, Inc"
12/31/2014,NA,$1000.00,Carol Ronen,Carol Ronen
03/10/2015,Graham,$250.00,Paul Rosenfeld,"Government Navigation Group, Inc"
01/29/2015,Smith,$250.00,Paul Rosenfeld,"Government Navigation Group, Inc"
02/17/2015,Burns,$1000.00,Paul Rosenfeld,"Government Navigation Group, Inc"
02/23/2015,Moreno,$1000.00,Paul Rosenfeld,"Government Navigation Group, Inc"
03/23/2015,NA,$250.00,Dennis O'Sullivan,Metropolitan Chicago Healthcare Council
01/27/2015,O'Connor,$1000.00,Dennis O'Sullivan,Metropolitan Chicago Healthcare Council
01/20/2015,Ervin,$500.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
01/07/2015,Pope,$1500.00,YaFawn Smith,Comcast
02/19/2015,Cochran,$1500.00,YaFawn Smith,Comcast
03/11/2015,Hopkins,$100.00,Donna Pugh,"Foley & Lardner, LLP"
02/26/2015,Taliaferro,$1000.00,Michael Sutton,"Infrastructure Engineering, Inc."
04/21/2015,Harris,$250.00,Michael Sutton,"Infrastructure Engineering, Inc."
12/10/2014,Thompson,$500.00,Jerry Mickelson,"Jam Productions, Ltd"
03/06/2014,Fioretti,$500.00,John George,"Schuyler, Roche & Crisham, P.C."
01/24/2014,O'Connor,$100.00,John George,"Schuyler, Roche & Crisham, P.C."
04/14/2014,Austin,$500.00,John George,"Schuyler, Roche & Crisham, P.C."
09/26/2014,Zalewski,$500.00,John George,"Schuyler, Roche & Crisham, P.C."
08/06/2014,NA,$500.00,John George,"Schuyler, Roche & Crisham, P.C."
02/27/2015,NA,$250.00,Amy Brennan,JP Morgan Chase & Co
01/29/2015,Mendoza,$250.00,Daniel Shomon,DAN SHOMON INC.
01/20/2015,Brookins,$150.00,Daniel Shomon,DAN SHOMON INC.
03/19/2015,NA,$500.00,John George,"Schuyler, Roche & Crisham, P.C."
02/09/2015,Solis,$500.00,John George,"Schuyler, Roche & Crisham, P.C."
02/19/2015,Cardenas,$500.00,Mark Fary,"Intergovernmental Consulting Group, Inc"
01/30/2015,Graham,$250.00,John George,"Schuyler, Roche & Crisham, P.C."
01/15/2015,Hopkins,$250.00,John Dunn,McGuireWoods Consulting
01/15/2015,Moore,$500.00,John Dunn,McGuireWoods Consulting
02/11/2015,Reilly,$1000.00,John Dunn,McGuireWoods Consulting
02/23/2015,Scott,$250.00,John Dunn,McGuireWoods Consulting
03/26/2015,O'Connor,$1000.00,John Dunn,McGuireWoods Consulting
09/16/2014,Mell,$250.00,Robert Molaro,Robert S. Molaro & Associates
01/27/2015,Beale,$100.00,Jason Lunderman,Comcast
02/26/2015,Taliaferro,$1000.00,Michael Sutton,"Infrastructure Engineering, Inc."
06/09/2014,NA,$250.00,John George,"Schuyler, Roche & Crisham, P.C."
02/10/2014,Laurino,$250.00,John George,"Schuyler, Roche & Crisham, P.C."
01/24/2014,O'Connor,$100.00,John George,"Schuyler, Roche & Crisham, P.C."
08/06/2014,NA,$500.00,John George,"Schuyler, Roche & Crisham, P.C."
01/10/2015,Villegas,$250.00,William Filan,William Filan Ltd
02/24/2014,Cappleman,$250.00,Michael Alexander,"Alexander & Borovicka Government Solutions, LLC"
04/22/2014,Sposato,$100.00,Jeff Riley,Riley Public Affairs
07/17/2014,Hairston,$300.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
09/27/2014,NA,$500.00,John Doerrer,Kaizen Inc
08/28/2014,NA,$500.00,John Doerrer,Kaizen Inc
10/03/2014,Austin,$500.00,Gery Chico,"Chico & Nunes, PC"
10/30/2014,Suarez,$500.00,Gery Chico,"Chico & Nunes, PC"
06/30/2014,Hopkins,$25.00,Donovan Pepper,Walgreen Co.
02/11/2015,Reilly,$500.00,Sam Toia,Illinois Restaurant Association
01/12/2015,O'Connor,$500.00,Gery Chico,"Chico & Nunes, P.C."
01/22/2015,Munoz,$500.00,Gery Chico,"Chico & Nunes, P.C."
01/22/2015,Maldonado,$500.00,Gery Chico,"Chico & Nunes, P.C."
01/27/2015,O'Connor,$1000.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
08/12/2014,Moreno,$1210.70,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
04/24/2014,Zalewski,$500.00,John George,"Schuyler, Roche & Crisham, P.C."
08/14/2014,NA,$250.00,John George,"Schuyler, Roche & Crisham, P.C."
09/30/2014,NA,$0.00,John Suzuki,"Collateral Trustee, Inc"
09/19/2014,Mendoza,$500.00,John Dunn,McGuireWoods Consulting
09/25/2014,Cappleman,$1500.00,Jason Lunderman,Comcast
06/12/2014,Reilly,$100.00,Pat Doerr,Hospitality Business Association of Chicago
09/15/2014,NA,$500.00,Rolando Acosta,Law Offices of Rolando R Acosta PC
03/12/2014,Harris,$500.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
06/04/2014,Osterman,$300.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
01/23/2014,Graham,$500.00,John George,"Schuyler, Roche & Crisham, P.C."
01/23/2014,Reilly,$1000.00,John George,"Schuyler, Roche & Crisham, P.C."
03/06/2014,Fioretti,$500.00,John George,"Schuyler, Roche & Crisham, P.C."
05/19/2014,Burns,$500.00,Arnold Harris,Arnold Scott Harris PC
03/06/2014,Hairston,$250.00,John George,"Schuyler, Roche & Crisham, P.C."
01/24/2014,O'Connor,$100.00,John George,"Schuyler, Roche & Crisham, P.C."
12/01/2014,O'Connor,$500.00,Beth Doria,Beth Doria
06/30/2014,Mendoza,$100.00,Michael Alexander,"Alexander & Borovicka Government Solutions, LLC"
08/19/2014,Fioretti,$150.00,Daniel Finkel,"Gold Coast Tickets, Ltd."
11/03/2014,Daley,$250.00,Joseph Pilewski,Joseph Pilewski
12/17/2014,Zalewski,$500.00,Lawrence Suffredin,Lawrence Suffredin
10/27/2014,NA,$150.00,Pat Doerr,Hospitality Business Association of Chicago
08/14/2014,Burns,$500.00,Elizabeth Lively,Metropolitan Chicago Healthcare Council
08/14/2014,NA,$150.00,Elizabeth Lively,Metropolitan Chicago Healthcare Council
07/17/2014,Hairston,$300.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
04/29/2014,Hopkins,$500.00,John George,"Schuyler, Roche & Crisham, P.C."
02/23/2015,Beale,$1000.00,Paul Rosenfeld,"Government Navigation Group, Inc"
02/19/2015,Cardenas,$500.00,Paul Rosenfeld,"Government Navigation Group, Inc"
02/17/2015,Burns,$1000.00,Paul Rosenfeld,"Government Navigation Group, Inc"
03/12/2014,NA,$500.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
06/04/2014,Burns,$1000.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
04/16/2014,O'Connor,$200.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
03/12/2014,Solis,$500.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
02/13/2014,Laurino,$250.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
02/13/2014,O'Connor,$500.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
06/04/2014,Pawar,$300.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
06/04/2014,Osterman,$300.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
07/16/2014,NA,$500.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
02/05/2015,NA,$1500.00,John Doerrer,John Doerrer
02/05/2015,NA,$500.00,John Doerrer,John Doerrer
02/09/2015,O'Connor,$1000.00,Arnold Harris,Arnold Scott Harris PC
01/15/2015,Moore,$1500.00,Arnold Harris,Arnold Scott Harris PC
03/02/2012,Moreno,$250.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, PC"
02/07/2012,Mell,$300.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, PC"
02/17/2012,NA,$300.00,Robert Gamrath,Quarles & Brady LLP
02/03/2012,Burke,$1000.00,Dan Gorske,"Republic Services, Inc"
06/02/2012,O'Connor,$100.00,Lisa Ouzounion,Comcast
04/03/2012,Zalewski,$1500.00,Derryl Benton,"Airport Management Services, LLC"
02/23/2012,NA,$1500.00,Michael Paulos,Comcast
02/21/2012,Ervin,$100.00,Joseph Pilewski,Duff and Phelps LLC
01/20/2012,Moreno,$500.00,Judith Roettig,Chicagoland Apartment Association
03/08/2012,NA,$500.00,Judith Roettig,Chicagoland Apartment Association
05/15/2012,Burns,$250.00,Virginia Pace,Lighten-Gale LLC
02/21/2012,Ervin,$100.00,Joseph Pilewski,Duff and Phelps LLC
02/21/2012,Burnett,$150.00,Joseph Pilewski,Duff and Phelps LLC
06/11/2012,NA,$1000.00,"John Kelly, Jr.","ALL-CIRCO, Inc."
02/21/2012,Burnett,$450.00,Kevin Wolfberg,"Schain Burney Ross & Citron, Ltd"
06/05/2012,NA,$1000.00,Jerome Schain,"Schain, Burney, Banks & Kenny, Ltd"
02/15/2012,Preckwinkle,$200.00,Ann Moroney,Johnson Research Group
06/11/2012,NA,$1000.00,"John Kelly, Jr.","ALL-CIRCO, Inc."
06/27/2012,Moreno,$500.00,Joseph Gattuso,Shefsky & Froelich Ltd.
02/22/2012,Burnett,$250.00,Bridget O'Keefe,"Daspin & Aument, LLP"
05/31/2012,Burns,$300.00,Elvin Charity,"Charity & Associates, P.C."
06/29/2012,Reilly,$1000.00,"John Kelly, Jr.","ALL-CIRCO, Inc."
03/07/2012,Moore,$250.00,Elizabeth Lively,Metropolitan Chicago Healthcare Council
02/07/2012,Arena,$150.00,Elizabeth Lively,Metropolitan Chicago Healthcare Council
01/12/2012,Waguespack,$150.00,Elizabeth Lively,Metropolitan Chicago Healthcare Council
04/26/2012,Foulkes,$1000.00,Thomas Livingston,CSX Corporation
03/22/2012,Burke,$250.00,Jerrold Wolf,"Public Consulting Group, Inc"
08/06/2012,Arena,$150.00,Joseph Gattuso,Shefsky & Froelich Ltd.
05/30/2012,Cardenas,$250.00,Michael Lufrano,"Chicago Cubs Baseball Club, LLC"
09/10/2012,NA,$100.00,Deborah Faktor,Polsky & Associates Ltd.
07/17/2012,Austin,$1500.00,Michael Sutton,Infrastructure Engineering Inc
08/02/2012,Laurino,$1000.00,Terry Gabinski,Terry Gabinski
09/26/2012,O'Connor,$500.00,John Doerrer,Kaizen Inc
09/28/2012,O'Connor,$500.00,Elizabeth Lively,Metropolitan Chicago Healthcare Council
08/10/2012,NA,$200.00,Elizabeth Lively,Metropolitan Chicago Healthcare Council
08/28/2012,Fioretti,$250.00,Robert Gamrath,Quarles & Brady LLP
09/24/2012,Thompson,$250.00,John Dunn,McGuire Woods Consulting LLC
09/06/2012,NA,$300.00,John Dunn,McGuire Woods Consulting LLC
08/29/2012,Solis,$100.00,Terrance Diamond,"Neal & Leroy, LLC"
08/27/2012,Burnett,$150.00,Michael Laube,Laube Consulting Group LLC
09/04/2012,Moreno,$250.00,Mark Fary,"Intergovernmental Consulting Group, Inc"
08/30/2012,Graham,$500.00,Stacy Davis Gates,Chicago Teachers Union
08/27/2012,Burnett,$1000.00,Michael Paulos,Comcast
09/12/2012,NA,$1000.00,Michael Paulos,Comcast
03/14/2012,NA,$1500.00,Yafawn Smith,Comcast
02/23/2012,NA,$1000.00,Yafawn Smith,Comcast
02/23/2012,Graham,$500.00,Stacy Davis Gates,Chicago Teachers Union
07/17/2012,Austin,$1000.00,John Sterling,"Synchronus - Solutions, Inc"
08/30/2012,Dowell,$250.00,Stacy Davis Gates,Chicago Teachers Union
05/25/2012,Hairston,$750.00,Stacy Davis Gates,Chicago Teachers Union
01/15/2013,Thomas,$0.00,Thomas Coffey,The Haymarket Group Ltd.
06/05/2012,Munoz,$250.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, PC"
10/01/2012,Preckwinkle,$150.00,Timothy Hinchman,"Charity & Associates, P.C."
11/15/2012,Burke,$1500.00,William Griffin,"Hill & Knowlton, Inc"
06/12/2012,NA,$1500.00,"John Kelly, Jr.","ALL-CIRCO, Inc."
02/22/2012,Burnett,$250.00,Bridget O'Keefe,"Daspin & Aument, LLP"
12/10/2012,Silverstein,$250.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, PC"
02/15/2012,O'Shea,$2000.00,Thomas Livingston,CSX Corporation
06/05/2012,O'Connor,$500.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, PC"
06/11/2012,NA,$1000.00,"John Kelly, Jr.","ALL-CIRCO, Inc."
03/22/2012,Burke,$250.00,Jerrold Wolf,"Public Consulting Group, Inc"
11/12/2012,Waguespack,$100.00,Elizabeth Lively,Metropolitan Chicago Healthcare Council
12/06/2012,Fioretti,$250.00,Terry Gabinski,Terry Gabinski
10/18/2012,NA,$500.00,Rolando Acosta,Law Offices of Rolando R Acosta PC
12/11/2012,Pawar,$500.00,Paul Rosenfeld,Government Navigation Group
12/12/2012,Pope,$1500.00,Yafawn Smith,Comcast
10/04/2012,O'Shea,$500.00,Yafawn Smith,Comcast
06/28/2012,Cullerton,$250.00,William Smith,Cornerstone Government Affairs
11/01/2012,NA,$1000.00,Michael Paulos,Comcast
10/23/2012,Cappleman,$1000.00,Michael Paulos,Comcast
10/09/2012,Cochran,$250.00,Jerome Schain,"Schain, Burney, Banks & Kenny, Ltd"
10/23/2012,Cappleman,$65.00,Mark Lenz,"Sugar, Felsenthal, Grais & Hammer LLP"
11/01/2012,NA,$250.00,David Coon,Greendustries Corp.
11/01/2012,Burke,$0.00,Douglas McFarlan,"Midwest Generation EME, LLC"
02/26/2013,Arena,$500.00,Elizabeth Lively,Metropolitan Chicago Healthcare Council
01/07/2013,Ervin,$150.00,Elizabeth Lively,Metropolitan Chicago Healthcare Council
01/07/2013,Cardenas,$1000.00,Elizabeth Lively,Metropolitan Chicago Healthcare Council
02/21/2013,Cullerton,$250.00,Marcus Nunes,"Chico & Nunes, PC"
03/12/2013,Harris,$500.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
01/17/2013,Cardenas,$500.00,Yafawn Smith,Comcast
02/14/2013,NA,$250.00,William Banks,"Schain, Burney, Banks & Kenny, Ltd"
03/27/2013,NA,$500.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
02/25/2013,Ervin,$250.00,John Dunn,McGuireWoods Consulting
03/12/2013,Harris,$500.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
02/21/2013,Mell,$300.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
01/17/2013,Cardenas,$250.00,Mary Minaghan dba MKM Services,MKM Services
03/25/2013,Solis,$300.00,Peter Cassel,Silliman Group LLC
06/26/2013,NA,$0.00,Gary Engle,Espar Heater Systems
03/21/2013,Moreno,$250.00,Jerome Schain,"Schain, Burney, Banks & Kenny, Ltd"
03/25/2013,NA,$250.00,William Banks,"Schain, Burney, Banks & Kenny, Ltd"
02/14/2013,NA,$250.00,William Banks,"Schain, Burney, Banks & Kenny, Ltd"
06/30/2013,NA,$0.00,Morgan Bassey,Harvestons Securities Inc
05/30/2013,NA,$1500.00,Elizabeth Lively,Metropolitan Chicago Healthcare Council
04/26/2013,Graham,$250.00,Elizabeth Lively,Metropolitan Chicago Healthcare Council
02/14/2013,NA,$250.00,William Banks,"Schain, Burney, Banks & Kenny, Ltd"
06/20/2013,Tunney,$300.00,Mara Georges,Daley and Georges Ltd.
05/01/2013,Hairston,$250.00,Graham Grady,Shefsky & Froelich Ltd.
02/14/2013,NA,$200.00,William Filan,William Filan Ltd
02/21/2013,Ervin,$300.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
02/21/2013,Moreno,$300.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
04/22/2013,Burnett,$500.00,Jerry Mickelson,Jam Productions. Ltd.
07/02/2013,NA,$0.00,John Suzuki,"Collateral Trustee, Inc"
03/22/2013,NA,$1000.00,Arnold Harris,Arnold Scott Harris PC
03/25/2013,NA,$250.00,William Banks,"Schain, Burney, Banks & Kenny, Ltd"
02/25/2013,Ervin,$250.00,John Dunn,McGuireWoods Consulting
05/15/2013,Burns,$500.00,Elvin Charity,"Charity & Associates, P.C."
06/07/2013,Reboyras,$150.00,Mary Minaghan dba MKM Services,MKM Services
06/07/2013,O'Connor,$500.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
04/17/2013,Pawar,$500.00,Jerome Schain,"Schain, Burney, Banks & Kenny, Ltd"
02/25/2013,Ervin,$250.00,John Dunn,McGuireWoods Consulting
01/15/2013,Cardenas,$250.00,John Dunn,McGuireWoods Consulting
